DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,PRICE_CHANGE,PRICE_CHANGE_PCT,CREATED_AT
2025-12-03,AAPL,286.2,288.62,283.3,284.15,43538687,-2.04,-0.71,2026-01-11 11:54:14.669
2025-12-03,AAPL,286.2,288.62,283.3,284.15,43538687,-2.04,-0.71,2026-01-11 11:52:30.837
2025-12-04,AAPL,284.095,284.73,278.59,280.7,43989056,-3.45,-1.21,2026-01-11 11:54:14.669
2025-12-04,AAPL,284.095,284.73,278.59,280.7,43989056,-3.45,-1.21,2026-01-11 11:52:30.837
2025-12-05,AAPL,280.54,281.14,278.05,278.78,47265845,-1.92,-0.68,2026-01-11 11:54:14.669
2025-12-05,AAPL,280.54,281.14,278.05,278.78,47265845,-1.92,-0.68,2026-01-11 11:52:30.837
2025-12-08,AAPL,278.13,279.6693,276.15,277.89,36406317,-0.89,-0.32,2026-01-11 11:52:30.837
2025-12-08,AAPL,278.13,279.6693,276.15,277.89,36406317,-0.89,-0.32,2026-01-11 11:54:14.669
2025-12-09,AAPL,278.16,280.03,276.92,277.18,31753410,-0.71,-0.26,2026-01-11 11:54:14.669
2025-12-09,AAPL,278.16,280.03,276.92,277.18,31753410,-0.71,-0.26,2026-01-11 11:52:30.837
2025-12-10,AAPL,277.75,279.75,276.44,278.78,33038318,1.6,0.58,2026-01-11 11:52:30.837
2025-12-10,AAPL,277.75,279.75,276.44,278.78,33038318,1.6,0.58,2026-01-11 11:54:14.669
2025-12-11,AAPL,279.095,279.59,273.81,278.03,33247986,-0.75,-0.27,2026-01-11 11:52:30.837
2025-12-11,AAPL,279.095,279.59,273.81,278.03,33247986,-0.75,-0.27,2026-01-11 11:54:14.669
2025-12-12,AAPL,277.9,279.22,276.82,278.28,39532887,0.25,0.09,2026-01-11 11:52:30.837
2025-12-12,AAPL,277.9,279.22,276.82,278.28,39532887,0.25,0.09,2026-01-11 11:54:14.669
2025-12-15,AAPL,280.15,280.15,272.84,274.11,50409078,-4.17,-1.5,2026-01-11 11:52:30.837
2025-12-15,AAPL,280.15,280.15,272.84,274.11,50409078,-4.17,-1.5,2026-01-11 11:54:14.669
2025-12-16,AAPL,272.82,275.5,271.79,274.61,37648628,0.5,0.18,2026-01-11 11:52:30.837
2025-12-16,AAPL,272.82,275.5,271.79,274.61,37648628,0.5,0.18,2026-01-11 11:54:14.669
2025-12-17,AAPL,275.01,276.16,271.64,271.84,50138743,-2.77,-1.01,2026-01-11 11:52:30.837
2025-12-17,AAPL,275.01,276.16,271.64,271.84,50138743,-2.77,-1.01,2026-01-11 11:54:14.669
2025-12-18,AAPL,273.605,273.63,266.95,272.19,51630721,0.35,0.13,2026-01-11 11:52:30.837
2025-12-18,AAPL,273.605,273.63,266.95,272.19,51630721,0.35,0.13,2026-01-11 11:54:14.669
2025-12-19,AAPL,272.145,274.6,269.9,273.67,144632048,1.48,0.54,2026-01-11 11:52:30.837
2025-12-19,AAPL,272.145,274.6,269.9,273.67,144632048,1.48,0.54,2026-01-11 11:54:14.669
2025-12-22,AAPL,272.86,273.88,270.505,270.97,36571827,-2.7,-0.99,2026-01-11 11:52:30.837
2025-12-22,AAPL,272.86,273.88,270.505,270.97,36571827,-2.7,-0.99,2026-01-11 11:54:14.669
2025-12-23,AAPL,270.84,272.5,269.56,272.36,29641999,1.39,0.51,2026-01-11 11:54:14.669
2025-12-23,AAPL,270.84,272.5,269.56,272.36,29641999,1.39,0.51,2026-01-11 11:52:30.837
